emp_no,first_name,last_name,dept_name
50814,Aamer,Daescu,Production
61761,Aamer,Feinberg,Finance
210129,Aamer,Frijda,Quality Management
466972,Aamer,Haldar,Production
299725,Aamer,Holburn,Development
205248,Aamer,Imataki,Development
262801,Aamer,Krider,Development
103641,Aamer,Loncour,Development
100534,Aamer,Luga,Sales
41743,Aamer,Lunt,Production
39647,Aamer,Massonet,Production
220170,Aamer,McFarlan,Quality Management
220170,Aamer,McFarlan,Production
101778,Aamer,Peha,Development
88788,Aamer,Picel,Human Resources
223399,Aamer,Radivojevic,Quality Management
491629,Aamer,Schapiro,Production
74202,Aamer,Schneeberger,Production
61415,Aamer,Schwartzbauer,Finance
255361,Aamer,Spell,Development
272876,Aamer,Standera,Customer Service
282485,Aamer,Strandh,Production
23269,Aamer,Szmurlo,Development
235609,Aamer,Talmor,Finance
70791,Aamod,Avouris,Development
44610,Aamod,Cronan,Production
479463,Aamod,Isard,Development
276240,Aamod,Kitsuregawa,Production
276240,Aamod,Kitsuregawa,Development
260969,Aamod,Leuchs,Finance
247408,Aamod,Perez,Development
75166,Aamod,Snyers,Development
494473,Aamod,Suri,Development
76816,Aamod,Terlouw,Quality Management
292331,Aamod,Vesna,Development
270783,Aamod,Vilarrasa,Research
452891,Abdelaziz,Bennet,Research
41147,Abdelaziz,Chimia,Development
41147,Abdelaziz,Chimia,Research
449838,Abdelaziz,Cmelik,Quality Management
51639,Abdelaziz,Czap,Marketing
51639,Abdelaziz,Czap,Sales
32180,Abdelaziz,Hofman,Finance
452574,Abdelaziz,Kampfer,Production
452574,Abdelaziz,Kampfer,Customer Service
287446,Abdelaziz,Krichel,Development
70311,Abdelaziz,Kugler,Customer Service
419504,Abdelaziz,Masamoto,Production
25308,Abdelaziz,Mayerwieser,Development
467620,Abdelaziz,Melichar,Finance
270564,Abdelaziz,Pearson,Human Resources
480096,Abdelaziz,Percebois,Development
469365,Abdelaziz,Schiper,Customer Service
98079,Abdelaziz,Stiles,Research
451600,Abdelaziz,Thisen,Production
104092,Abdelaziz,Vitiello,Production
25225,Abdelaziz,Vrecion,Production
490204,Abdelaziz,Waymire,Sales
205568,Abdelghani,Aingworth,Finance
205568,Abdelghani,Aingworth,Human Resources
38267,Abdelghani,Armand,Development
99804,Abdelghani,Benner,Development
231243,Abdelghani,Birta,Human Resources
109915,Abdelghani,Cannane,Customer Service
109915,Abdelghani,Cannane,Marketing
286902,Abdelghani,Cannata,Quality Management
434084,Abdelghani,Cappello,Sales
240160,Abdelghani,Clouatre,Production
453955,Abdelghani,Covnot,Production
94574,Abdelghani,Dulli,Research
28770,Abdelghani,Farris,Production
28770,Abdelghani,Farris,Customer Service
274996,Abdelghani,Fioravanti,Production
422588,Abdelghani,Gimarc,Production
105441,Abdelghani,Haldar,Sales
416899,Abdelghani,Heijenga,Development
229415,Abdelghani,Ibel,Development
17468,Abdelghani,Irland,Sales
454863,Abdelghani,Krichel,Development
244946,Abdelghani,Lubachevsky,Production
54783,Abdelghani,Nannarelli,Development
108053,Abdelghani,Nilsson,Sales
419543,Abdelghani,Nitsch,Marketing
290946,Abdelghani,Reutenauer,Sales
